ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,Male,No,22,No,Healthcare,1,Low,4,Cat_4,D
462643,Female,Yes,38,Yes,Engineer,,Average,3,Cat_4,A
466315,Female,Yes,67,Yes,Engineer,1,Low,1,Cat_6,B
461735,Male,Yes,67,Yes,Lawyer,0,High,2,Cat_6,B
462669,Female,Yes,40,Yes,Entertainment,,High,6,Cat_6,A
461319,Male,Yes,56,No,Artist,0,Average,2,Cat_6,C
460156,Male,No,32,Yes,Healthcare,1,Low,3,Cat_6,C
464347,Female,No,33,Yes,Healthcare,1,Low,3,Cat_6,D
465015,Female,Yes,61,Yes,Engineer,0,Low,3,Cat_7,D
465176,Female,Yes,55,Yes,Artist,1,Average,4,Cat_6,C
464041,Female,No,26,Yes,Engineer,1,Low,3,Cat_6,A
464942,Male,No,19,No,Healthcare,4,Low,4,Cat_4,D
461230,Female,No,19,No,Executive,0,Low,,Cat_3,D
459573,Male,Yes,70,No,Lawyer,,Low,1,Cat_6,A
460849,Female,Yes,58,No,Doctor,0,Low,1,Cat_3,B
460563,Female,No,41,No,Healthcare,1,Low,2,Cat_1,C
466865,Female,No,32,No,Homemaker,9,Low,5,Cat_3,D
461644,Male,No,31,No,Healthcare,1,Low,6,Cat_6,B
466772,Male,Yes,58,Yes,Entertainment,1,Average,4,Cat_6,B
464291,Female,Yes,79,Yes,Artist,0,High,1,Cat_6,C
466084,Male,Yes,49,Yes,Homemaker,12,Low,1,Cat_3,A
459675,Female,No,18,No,Healthcare,3,Low,4,Cat_6,D
465602,Male,Yes,33,Yes,Artist,13,Low,2,Cat_3,A
459168,Female,No,36,Yes,Artist,5,Low,2,Cat_6,B
461021,Female,,58,No,Executive,1,Average,3,Cat_3,B
465083,Male,Yes,56,No,Artist,1,Average,3,Cat_6,C
467604,Male,No,31,No,Healthcare,9,Low,8,Cat_4,A
459717,Male,Yes,49,Yes,Artist,1,Average,3,Cat_6,C
465882,Male,No,35,Yes,Artist,0,Low,1,Cat_6,B
461996,Female,No,35,No,Artist,5,Low,4,Cat_6,C
463331,Female,Yes,45,Yes,Artist,0,Low,3,Cat_6,C
462216,Female,Yes,42,No,Doctor,1,Low,2,Cat_4,A
462454,Male,No,19,No,Healthcare,1,Low,3,Cat_2,D
467010,Male,No,26,No,Homemaker,9,Low,,Cat_6,D
459861,Female,Yes,83,No,Lawyer,1,High,2,Cat_6,D
467917,Female,No,27,Yes,Healthcare,3,Low,4,Cat_1,D
465572,Male,No,32,No,Doctor,5,Low,1,Cat_4,D
460593,Female,Yes,28,No,Healthcare,1,Average,5,Cat_3,D
465891,Female,Yes,28,Yes,Artist,8,Low,2,Cat_6,A
467442,Male,Yes,56,Yes,Artist,,Average,2,Cat_6,C
462044,Female,No,47,Yes,Artist,4,Low,1,Cat_6,B
465686,Female,No,22,No,Healthcare,0,Low,2,Cat_6,D
464590,Female,No,27,Yes,Artist,14,Low,3,Cat_6,A
466006,Female,Yes,49,Yes,Artist,1,Low,2,,C
